Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1975","1975","million SLC","332951857.452989","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1976","1976","million SLC","369571606.780962","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1977","1977","million SLC","419693708.913661","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1978","1978","million SLC","427120297.896252","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1979","1979","million SLC","455812060.256314","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1980","1980","million SLC","439873503.122907","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1981","1981","million SLC","465374014.776393","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1982","1982","million SLC","503303297.666031","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1983","1983","million SLC","539002834.220943","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1984","1984","million SLC","584264325.295934","X","Figure from international organizations",""
"MK","Macro Indicators","704","Viet Nam","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1985","1985","million SLC","617097045.134772","X","Figure from international organizations",""
