Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1975","1975","SLC","28.5630907166","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1976","1976","SLC","30.1350279689","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1977","1977","SLC","32.0074277538","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1978","1978","SLC","34.2587760562","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1979","1979","SLC","37.1010749724","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1980","1980","SLC","40.4524436047","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1981","1981","SLC","44.2801124095","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1982","1982","SLC","47.0158562014","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1983","1983","SLC","48.8573672386","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1984","1984","SLC","50.6199971153","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1985","1985","SLC","52.2208267657","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1986","1986","SLC","53.2725027741","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1987","1987","SLC","54.5898305593","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1988","1988","SLC","56.5154439542","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1989","1989","SLC","58.7310461337","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1990","1990","SLC","60.9295428508","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1991","1991","SLC","62.9900347066","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1992","1992","SLC","64.4255211095","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1993","1993","SLC","65.9526247464","E","Estimated value"
"PD","Deflators","840","United States of America","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1994","1994","SLC","67.3609927308","E","Estimated value"
