Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1975","1975","SLC","0.0011702842","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1976","1976","SLC","0.0012286731","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1977","1977","SLC","0.001289826","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1978","1978","SLC","0.0015292958","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1979","1979","SLC","0.0015665066","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1980","1980","SLC","0.0017958424","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1981","1981","SLC","0.0023829419","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1982","1982","SLC","0.0047659011","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1983","1983","SLC","0.0071248994","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1984","1984","SLC","0.01174707","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1985","1985","SLC","0.0225099971","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1986","1986","SLC","0.1321736669","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1987","1987","SLC","0.5507035499","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1988","1988","SLC","2.2431425883","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1989","1989","SLC","3.9036790763","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1990","1990","SLC","5.5469367894","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1991","1991","SLC","9.5710385125","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1992","1992","SLC","12.6939912229","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1993","1993","SLC","14.9046473358","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1994","1994","SLC","17.4313301036","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1995","1995","SLC","20.4016629088","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1996","1996","SLC","22.1759471927","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1997","1997","SLC","23.6390706772","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1998","1998","SLC","25.7282712239","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","1999","1999","SLC","27.2039186335","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2000","2000","SLC","28.1309442232","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2001","2001","SLC","28.6789981082","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2002","2002","SLC","29.8137702603","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2003","2003","SLC","31.8018791012","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2004","2004","SLC","37.5706651136","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2005","2005","SLC","40.9704185762","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2006","2006","SLC","44.4811544771","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2007","2007","SLC","48.7647922544","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2008","2008","SLC","59.8213905391","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2009","2009","SLC","63.5396656628","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2010","2010","SLC","71.2116196694","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2011","2011","SLC","86.4606476198","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2012","2012","SLC","94.3092516317","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2013","2013","SLC","98.1179532353","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2014","2014","SLC","101.7464903024","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2015","2015","SLC","100","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2016","2016","SLC","101.8195360126","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2017","2017","SLC","106.2618410322","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2018","2018","SLC","110.1155832873","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2019","2019","SLC","112.7839336561","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2020","2020","SLC","114.4390131469","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2021","2021","SLC","117.6184235948","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2022","2022","SLC","122.1590566818","E","Estimated value"
"PD","Deflators","704","Viet Nam","62250","Value Standard Local Currency, 2015 prices","22024","GDP Deflator","2023","2023","SLC","130.2200133156","E","Estimated value"
