Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1975","1975","t","10293600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1976","1976","t","11827200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1977","1977","t","10597100","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1978","1978","t","9789900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1979","1979","t","11362900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1980","1980","t","11647400","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1981","1981","t","12415200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1982","1982","t","14390200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1983","1983","t","14743300","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1984","1984","t","15505600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1985","1985","t","15874800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1986","1986","t","16002900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1987","1987","t","15102600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1988","1988","t","17000000","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1989","1989","t","18996304","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1990","1990","t","19225104","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1991","1991","t","19621904","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1992","1992","t","21590304","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1993","1993","t","22836600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1994","1994","t","23528300","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1995","1995","t","24963700","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1996","1996","t","26396700","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1997","1997","t","27523900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1998","1998","t","29408143","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","1999","1999","t","31393800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2000","2000","t","32529500","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2001","2001","t","32108400","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2002","2002","t","34447200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2003","2003","t","34568800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2004","2004","t","36148900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2005","2005","t","35832900","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2006","2006","t","35849500","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2007","2007","t","35942700","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2008","2008","t","38729800","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2009","2009","t","38950200","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2010","2010","t","40005600","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2011","2011","t","42398344","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2012","2012","t","43737598","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2013","2013","t","44039100","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2014","2014","t","44974206","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2015","2015","t","45090561.89","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2016","2016","t","43112009.81","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2017","2017","t","42763682.38","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2018","2018","t","44046249.56","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2019","2019","t","43495487.58","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2020","2020","t","42764999.76","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2021","2021","t","43852728.69","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2022","2022","t","42660798.11","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2023","2023","t","43497624.81","A","Official figure",""
