Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1975","1975","1000 SLC","65251130400","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1976","1976","1000 SLC","74972620800","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1977","1977","1000 SLC","67175016900","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1978","1978","1000 SLC","62058176100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1979","1979","1000 SLC","72029423100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1980","1980","1000 SLC","73832868600","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1981","1981","1000 SLC","78699952800","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1982","1982","1000 SLC","91219477800","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1983","1983","1000 SLC","93457778700","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1984","1984","1000 SLC","98289998400","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1985","1985","1000 SLC","100630357200","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1986","1986","1000 SLC","101442383100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1987","1987","1000 SLC","95735381400","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1988","1988","1000 SLC","107763000000","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1989","1989","1000 SLC","120417571056","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1990","1990","1000 SLC","121867934256","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1991","1991","1000 SLC","124383249456","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1992","1992","1000 SLC","136860937056","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1993","1993","1000 SLC","144761207400","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1994","1994","1000 SLC","149145893700","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1995","1995","1000 SLC","158244894300","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1996","1996","1000 SLC","167328681300","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1997","1997","1000 SLC","174474002100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1998","1998","1000 SLC","186418218477","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","1999","1999","1000 SLC","199005298200","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2000","2000","1000 SLC","206204500500","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2001","2001","1000 SLC","203535147600","E","Estimated value"
